"doc_id","molregno","standard_relation","standard_value","standard_units","standard_flag","standard_type","pchembl_value","canonical_smiles","compound_chembl_id"
5839,189018,"=",82,"nM",1,"EC50",7.09,"CCCCCCCCc1ccc(NC(=O)[C@@H](N)COP(=O)(O)O)cc1.OC(=O)C(F)(F)F","CHEMBL332050"
5839,188442,"=",322.1,"nM",1,"EC50",6.49,"CCCCCCCCCCCCCCONC(=O)[C@@H](N)COP(=O)(O)O.OC(=O)C(F)(F)F","CHEMBL115505"
5839,188375,"=",260,"nM",1,"EC50",6.58,"CCCCCCc1ccc(NC(=O)[C@H](N)COP(=O)(O)O)cc1.OC(=O)C(F)(F)F","CHEMBL115344"
5839,188376,"=",598.4,"nM",1,"EC50",6.22,"CCCCCCCCCCCCNC(=O)[C@@H](N)COP(=O)(O)O.OC(=O)C(F)(F)F","CHEMBL324358"
5839,188766,"=",12.7,"nM",1,"EC50",7.9,"CCCCCCCCCCCCCCNC(=O)[C@H](N)COP(=O)(O)O.OC(=O)C(F)(F)F","CHEMBL332472"
5839,188278,"=",58,"nM",1,"EC50",7.24,"CCCCCCCCc1ccc(NC(=O)[C@H](N)COP(=O)(O)O)cc1.OC(=O)C(F)(F)F","CHEMBL422074"
5839,188644,"=",130,"nM",1,"EC50",6.89,"CCCCCCCCCCCCc1ccc(NC(=O)[C@H](N)COP(=O)(O)O)cc1.OC(=O)C(F)(F)F","CHEMBL116953"
5839,188322,"=",8.6,"nM",1,"EC50",8.07,"CCCCCCCCCCc1ccc(NC(=O)[C@H](N)COP(=O)(O)O)cc1.OC(=O)C(F)(F)F","CHEMBL334038"
5839,188407,"=",1805,"nM",1,"EC50",5.74,"CCCCCCCCCCCCCCCCNC(=O)[C@@H](N)COP(=O)(O)O.OC(=O)C(F)(F)F","CHEMBL325408"
5839,188673,"=",550,"nM",1,"EC50",6.26,"CCCCCCc1ccc(NC(=O)[C@@H](N)COP(=O)(O)O)cc1.OC(=O)C(F)(F)F","CHEMBL114031"
5839,188433,"=",397,"nM",1,"EC50",6.4,"CCCCCCCCCCCCCCNC(=O)[C@@H](N)COP(=O)(O)O.OC(=O)C(F)(F)F","CHEMBL423691"
5839,374212,"=",0.9,"nM",1,"EC50",9.05,"CCCCCCCCCCCCC\C=C\[C@@H](O)[C@@H](N)COP(=O)(O)O","CHEMBL225155"
5839,374212,"=",4.5,"nM",1,"EC50",8.35,"CCCCCCCCCCCCC\C=C\[C@@H](O)[C@@H](N)COP(=O)(O)O","CHEMBL225155"
20586,316625,"=",6.4,"nM",1,"EC50",8.19,"CCCCCCCCc1ccc(cc1)c2c[nH]c(n2)[C@@H](N)COP(=S)(O)O.OC(=O)C(F)(F)F","CHEMBL188826"
20586,316374,"=",4.7,"nM",1,"EC50",8.33,"CCCCCCCCc1ccc(cc1)c2c[nH]c(n2)C(C)(N)COP(=O)(O)O.OC(=O)C(F)(F)F","CHEMBL188881"
20586,316181,"=",9.8,"nM",1,"EC50",8.01,"CCCCCCCCc1ccc(cc1)c2c[nH]c(n2)C(C)(N)COP(=S)(O)O.OC(=O)C(F)(F)F","CHEMBL364950"
20586,549045,"=",5100,"nM",1,"EC50",5.29,"Cl.CCCCCCCCc1ccc(cc1)c2c[nH]c(n2)C(N)(CO)CO","CHEMBL537632"
20586,549047,"=",7.9,"nM",1,"EC50",8.1,"Cl.CCCCCCCCc1ccc(cc1)c2c[nH]c(n2)C(N)(CO)COP(=O)(O)O","CHEMBL537849"
20586,552882,"=",150,"nM",1,"EC50",6.82,"Cl.CCCCCCCCc1ccc(cc1)c2c[nH]c(n2)C(N)(CO)COP(=S)(O)O","CHEMBL541890"
20586,374212,"=",4.5,"nM",1,"EC50",8.35,"CCCCCCCCCCCCC\C=C\[C@@H](O)[C@@H](N)COP(=O)(O)O","CHEMBL225155"
20586,186330,"=",1.3,"nM",1,"EC50",8.89,"CCCCCCCCc1ccc(CCC(N)(CO)COP(=O)(O)O)cc1","CHEMBL114606"
20586,316305,"=",7,"nM",1,"EC50",8.15,"CCCCCCCCc1ccc(cc1)c2c[nH]c(n2)[C@H](N)COP(=O)(O)O.OC(=O)C(F)(F)F","CHEMBL187712"
20586,316630,"=",2700,"nM",1,"EC50",5.57,"CCCCCCCCc1ccc(cc1)c2c[nH]c(n2)[C@H](N)CO.OC(=O)C(F)(F)F","CHEMBL190529"
20586,316459,"=",4,"nM",1,"EC50",8.4,"CCCCCCCCc1ccc(cc1)c2c[nH]c(n2)[C@@H](N)COP(=O)(O)O.OC(=O)C(F)(F)F","CHEMBL190865"
21408,144940,">",10000,"nM",1,"EC50",,"CCCCCCCCc1ccc(CCC(N)(CO)CO)cc1","CHEMBL314854"
21408,186330,"=",1.2,"nM",1,"EC50",8.92,"CCCCCCCCc1ccc(CCC(N)(CO)COP(=O)(O)O)cc1","CHEMBL114606"
21408,318474,"=",0.3,"nM",1,"EC50",9.52,"CCCCCCCCc1ccc(CC[C@](N)(CO)COP(=O)(O)O)cc1","CHEMBL366208"
21408,318534,"=",21.8,"nM",1,"EC50",7.66,"CCCCCCCCc1ccc(CC[C@@](N)(CO)COP(=O)(O)O)cc1","CHEMBL190006"
20165,374212,"=",20,"nM",1,"EC50",7.7,"CCCCCCCCCCCCC\C=C\[C@@H](O)[C@@H](N)COP(=O)(O)O","CHEMBL225155"
20165,309140,"=",37,"nM",1,"EC50",7.43,"CCCCCCCCc1ccc2[nH]c(nc2c1)[C@@H](N)COP(=O)(O)O.COC(=O)C(F)(F)F","CHEMBL185491"
20165,309103,"=",21,"nM",1,"EC50",7.68,"CCCCCCCCc1ccc2[nH]c(nc2c1)[C@H](N)COP(=O)(O)O.COC(=O)C(F)(F)F","CHEMBL361915"
20165,309194,"=",2900,"nM",1,"EC50",5.54,"CCCCCCCCc1ccc2[nH]c(nc2c1)[C@@H](N)[C@@H](C)O.OC(=O)C(F)(F)F","CHEMBL183888"
20165,308879,"=",240,"nM",1,"EC50",6.62,"CCCCCCCCc1ccc2[nH]c(nc2c1)[C@@H](N)[C@@H](C)OP(=O)(O)O.OC(=O)C(F)(F)F","CHEMBL183894"
20165,308830,"=",1000,"nM",1,"EC50",6,"CCCCCCCCc1ccc2[nH]c(nc2c1)C(C)(N)COP(=O)(O)O.OC(=O)C(F)(F)F","CHEMBL433593"
20165,309220,"=",2100,"nM",1,"EC50",5.68,"CCCCCCCCc1ccc2[nH]c(nc2c1)[C@@H](N)CO.OC(=O)C(F)(F)F","CHEMBL363076"
20165,309170,"=",330,"nM",1,"EC50",6.48,"CCCCCCCCc1ccc2[nH]c(nc2c1)[C@H](N)CO.OC(=O)C(F)(F)F","CHEMBL186815"
30504,334177,"=",1,"nM",1,"EC50",9,"CCCCCCCCCC\C=C\[C@@H](O)[C@@H](N)COP(=O)(O)O","CHEMBL199791"
30504,334186,"=",0.7943,"nM",1,"EC50",9.1,"CCCCCCCOc1ccc(CC[C@@](C)(N)COP(=O)(O)O)cc1","CHEMBL382739"
30504,334185,"=",63.1,"nM",1,"EC50",7.2,"N[C@@H](COP(=O)(O)O)[C@H](O)\C=C\CCCCCCCCCCNc1ccc(c2nonc12)[N+](=O)[O-]","CHEMBL199754"
30504,335857,"=",1,"nM",1,"EC50",9,"C[C@@](N)(CCc1ccc(OCCCCCCCCCCCNc2ccc(c3nonc23)[N+](=O)[O-])cc1)COP(=O)(O)O","CHEMBL371758"
30504,335921,"=",19.95,"nM",1,"EC50",7.7,"C[C@@](N)(CCc1ccc(OCCCCCCCCNc2ccc(c3nonc23)[N+](=O)[O-])cc1)COP(=O)(O)O","CHEMBL203475"
31454,350460,"=",0.7,"nM",1,"EC50",9.15,"CC(C)Oc1ncc(cc1Cl)c2onc(n2)c3ccc(CCC(=O)O)cc3C","CHEMBL210695"
31454,350514,"=",0.1,"nM",1,"EC50",10,"CC(Oc1ncc(cc1Cl)c2onc(n2)c3ccc(CCC(=O)O)cc3C)C(F)(F)F","CHEMBL209484"
31454,350430,"=",208,"nM",1,"EC50",6.68,"CC(C)Oc1ccc(cn1)c2onc(n2)c3ccc(CCC(=O)O)cc3C","CHEMBL210301"
31454,350512,"=",88,"nM",1,"EC50",7.06,"CC(C)Cc1ccc(cn1)c2onc(n2)c3ccc(CCC(=O)O)cc3C","CHEMBL211255"
31454,350458,"=",0.9,"nM",1,"EC50",9.05,"CC(C)C(F)(F)c1ccc(nc1)c2onc(n2)c3ccc(CCC(=O)O)cc3C","CHEMBL209567"
31454,350457,"=",3.4,"nM",1,"EC50",8.47,"CC(C)Cc1ccc(nc1)c2onc(n2)c3ccc(CCC(=O)O)cc3C","CHEMBL209566"
31454,350428,"=",16,"nM",1,"EC50",7.8,"CCCCc1ccc(nc1)c2onc(n2)c3ccc(CCC(=O)O)cc3C","CHEMBL210224"
31454,351084,"=",0.11,"nM",1,"EC50",9.96,"Cc1cc(CCC(=O)O)ccc1c2noc(n2)c3ccc(OCC(F)(F)F)c(c3)C#N","CHEMBL379380"
31454,351058,"=",0.1,"nM",1,"EC50",10,"Cc1cc(CCC(=O)O)ccc1c2noc(n2)c3ccc(OC(C(F)(F)F)C(F)(F)F)c(c3)C#N","CHEMBL210942"
31454,351010,"=",0.03,"nM",1,"EC50",10.52,"CC(Oc1ccc(cc1C#N)c2onc(n2)c3ccc(CCC(=O)O)cc3C)C(F)(F)F","CHEMBL378436"
31454,350964,"=",0.07,"nM",1,"EC50",10.15,"CC[C@H](C)Oc1ccc(cc1C#N)c2onc(n2)c3ccc(CCC(=O)O)cc3C","CHEMBL378054"
31454,350719,"<",0.08,"nM",1,"EC50",,"CC(C)Oc1ccc(cc1C#N)c2onc(n2)c3ccc(CCC(=O)O)cc3C","CHEMBL211505"
31454,351221,"=",1.1,"nM",1,"EC50",8.96,"COc1cc(ccc1OC(C)C)c2onc(n2)c3ccc(CCC(=O)O)cc3C","CHEMBL212580"
31454,351167,"<",0.08,"nM",1,"EC50",,"CC(C)Oc1ccc(cc1Br)c2onc(n2)c3ccc(CCC(=O)O)cc3C","CHEMBL210316"
31454,350808,"=",0.2,"nM",1,"EC50",9.7,"CC(C)Oc1ccc(cc1C)c2onc(n2)c3ccc(CCC(=O)O)cc3C","CHEMBL208898"
31454,350778,"=",0.2,"nM",1,"EC50",9.7,"CC(C)Oc1ccc(cc1Cl)c2onc(n2)c3ccc(CCC(=O)O)cc3C","CHEMBL206940"
31454,350747,"=",1.9,"nM",1,"EC50",8.72,"CC(C)Oc1ccc(cc1F)c2onc(n2)c3ccc(CCC(=O)O)cc3C","CHEMBL380253"
31454,350835,"=",3.2,"nM",1,"EC50",8.49,"COc1ccc(cc1C(F)(F)F)c2onc(n2)c3ccc(CCC(=O)O)cc3C","CHEMBL211806"
31454,350834,"=",0.4,"nM",1,"EC50",9.4,"CCOc1ccc(cc1C(F)(F)F)c2onc(n2)c3ccc(CCC(=O)O)cc3C","CHEMBL211689"
31454,350865,"=",14,"nM",1,"EC50",7.85,"Cc1cc(CCCC(=O)O)ccc1c2noc(n2)c3ccc(cc3)C4CCCCC4","CHEMBL208224"
31454,350806,"=",0.09,"nM",1,"EC50",10.05,"CC(C)Oc1ccc(cc1C(F)(F)F)c2onc(n2)c3ccc(CCC(=O)O)cc3C","CHEMBL208924"
31454,350746,"=",12,"nM",1,"EC50",7.92,"Cc1cc(CCCCCC(=O)O)ccc1c2noc(n2)c3ccc(cc3)C4CCCCC4","CHEMBL209008"
31454,350864,"=",0.5,"nM",1,"EC50",9.3,"Cc1cc(CCC(=O)O)ccc1c2noc(n2)c3ccc(cc3)C4CCCCC4","CHEMBL208168"
31454,350805,"=",830,"nM",1,"EC50",6.08,"Cc1cc(CC(=O)O)ccc1c2noc(n2)c3ccc(cc3)C4CCCCC4","CHEMBL425058"
31454,351001,"=",467,"nM",1,"EC50",6.33,"Cc1cc(ccc1c2noc(n2)c3ccc(cc3)C4CCCCC4)C(=O)O","CHEMBL208682"
31454,350923,"=",2.4,"nM",1,"EC50",8.62,"Cc1ccccc1c2noc(n2)c3ccc(cc3)C4CCCCC4","CHEMBL208786"
31478,350362,"=",380,"nM",1,"EC50",6.42,"CC(C)Oc1ccc(cc1C#N)c2n[nH]c(n2)c3ccc(CCC(=O)O)cc3C","CHEMBL379589"
31478,350361,">",10000,"nM",1,"EC50",,"CC(C)Oc1ccc(cc1C#N)c2nnc(c3ccc(CCC(=O)O)cc3C)n2C","CHEMBL211199"
31478,350328,"=",1200,"nM",1,"EC50",5.92,"CC(C)Oc1ccc(cc1C#N)c2cc(cs2)c3ccc(CCC(=O)O)cc3C","CHEMBL379660"
31478,350327,"=",290,"nM",1,"EC50",6.54,"CC(C)Oc1ccc(cc1C#N)c2csc(c2)c3ccc(CCC(=O)O)cc3C","CHEMBL377339"
31478,350294,"=",5.1,"nM",1,"EC50",8.29,"CC(C)Oc1ccc(cc1C#N)c2oc(nc2)c3ccc(CCC(=O)O)cc3C","CHEMBL209003"
31478,350293,"=",0.98,"nM",1,"EC50",9.01,"CC(C)Oc1ccc(cc1C#N)c2nnn(n2)c3ccc(CCC(=O)O)cc3C","CHEMBL380040"
31478,350265,"=",1.6,"nM",1,"EC50",8.8,"CC(C)Oc1ccc(cc1C#N)n2nnc(n2)c3ccc(CCC(=O)O)cc3C","CHEMBL210345"
31478,350462,">",3600,"nM",1,"EC50",,"CC(C)Oc1ccc(cc1C#N)c2sc(nc2C)c3ccc(CCC(=O)O)cc3C","CHEMBL210855"
31478,350461,"=",0.18,"nM",1,"EC50",9.74,"CC(C)Oc1ccc(cc1C#N)c2cnc(s2)c3ccc(CCC(=O)O)cc3C","CHEMBL211046"
31478,350432,"=",14,"nM",1,"EC50",7.85,"CC(C)Oc1ccc(cc1C#N)c2ncc(s2)c3ccc(CCC(=O)O)cc3C","CHEMBL379612"
31478,350431,">",10000,"nM",1,"EC50",,"CC(C)Oc1ccc(cc1C#N)c2ccc(c3ccc(CCC(=O)O)cc3C)n2C","CHEMBL210936"
31478,350401,">",10000,"nM",1,"EC50",,"CC(C)Oc1ccc(cc1C#N)c2oc(cc2)c3ccc(CCC(=O)O)cc3C","CHEMBL210797"
31478,350400,"=",0.93,"nM",1,"EC50",9.03,"CC(C)Oc1ccc(cc1C#N)c2ccc(s2)c3ccc(CCC(=O)O)cc3C","CHEMBL377181"
31478,350360,"=",1.1,"nM",1,"EC50",8.96,"CC(C)Oc1ccc(cc1C#N)c2oc(nn2)c3ccc(CCC(=O)O)cc3C","CHEMBL211081"
31478,350543,"=",1.9,"nM",1,"EC50",8.72,"Cc1cc(CCC(=O)O)ccc1c2nnc(s2)c3ccc(c(c3)C#N)c4cccs4","CHEMBL210038"
31478,350542,"=",94,"nM",1,"EC50",7.03,"CC(=O)Oc1ccc(cc1C#N)c2nnc(s2)c3ccc(CCC(=O)O)cc3C","CHEMBL209988"
31478,350515,"=",0.23,"nM",1,"EC50",9.64,"Cc1cc(CCC(=O)O)ccc1c2nnc(s2)c3ccc(OC(CF)CF)c(c3)C#N","CHEMBL379310"
31478,350459,"=",45,"nM",1,"EC50",7.35,"Cc1cc(CCC(=O)O)ccc1c2nnc(s2)c3ccc(OCC#N)c(c3)C#N","CHEMBL210694"
31478,350540,"=",360,"nM",1,"EC50",6.44,"Cc1cc(CCC(=O)O)ccc1c2nnc(s2)c3ccc(OCC(=O)O)c(c3)C#N","CHEMBL210841"
31478,350513,"=",38,"nM",1,"EC50",7.42,"Cc1cc(CCC(=O)O)ccc1c2nnc(s2)c3ccc(OC(C(F)(F)F)C(F)(F)F)c(c3)C#N","CHEMBL209536"
31478,350427,"=",7.7,"nM",1,"EC50",8.11,"Cc1cc(CCC(=O)O)ccc1c2nnc(s2)c3ccc(OCCC(F)(F)F)c(c3)C#N","CHEMBL380235"
31478,351083,"=",0.6,"nM",1,"EC50",9.22,"Cc1cc(CCC(=O)O)ccc1c2nnc(s2)c3ccc(OCC(F)(F)F)c(c3)C#N","CHEMBL211228"
31478,351057,"=",1.1,"nM",1,"EC50",8.96,"Cc1cc(CCC(=O)O)ccc1c2nnc(s2)c3ccc(OCC(F)F)c(c3)C#N","CHEMBL444799"
31478,351009,"=",9.5,"nM",1,"EC50",8.02,"Cc1cc(CCC(=O)O)ccc1c2nnc(s2)c3ccc(OCCF)c(c3)C#N","CHEMBL208875"
31478,350720,"=",570,"nM",1,"EC50",6.24,"Cc1cc(CCC(=O)O)ccc1c2nnc(s2)c3ccc(F)c(c3)C#N","CHEMBL379556"
31478,351222,"=",0.79,"nM",1,"EC50",9.1,"Cc1cc(CCC(=O)O)ccc1c2nnc(s2)c3ccc(OC4CCC4)c(c3)C#N","CHEMBL378970"
31478,351168,"=",0.28,"nM",1,"EC50",9.55,"CCC(C)Oc1ccc(cc1C#N)c2nnc(s2)c3ccc(CCC(=O)O)cc3C","CHEMBL209778"
31478,351134,"=",0.61,"nM",1,"EC50",9.21,"Cc1cc(CCC(=O)O)ccc1c2nnc(s2)c3ccc(OCC4CC4)c(c3)C#N","CHEMBL211826"
31478,350779,"=",2.8,"nM",1,"EC50",8.55,"CC(C)COc1ccc(cc1C#N)c2nnc(s2)c3ccc(CCC(=O)O)cc3C","CHEMBL207275"
31478,350748,"=",0.16,"nM",1,"EC50",9.8,"CC(C)Cc1ccc(cc1C#N)c2nnc(s2)c3ccc(CCC(=O)O)cc3C","CHEMBL208718"
31478,350718,"=",0.2,"nM",1,"EC50",9.7,"CC(C)Oc1ccc(cc1C#N)c2nnc(s2)c3ccc(CCC(=O)O)cc3C","CHEMBL377767"
31478,350717,"=",3.4,"nM",1,"EC50",8.47,"CCCOc1ccc(cc1C#N)c2nnc(s2)c3ccc(CCC(=O)O)cc3C","CHEMBL212266"
31478,350807,"=",2.1,"nM",1,"EC50",8.68,"CCOc1ccc(cc1C#N)c2nnc(s2)c3ccc(CCC(=O)O)cc3C","CHEMBL208897"
31478,350777,"=",97,"nM",1,"EC50",7.01,"COc1ccc(cc1C#N)c2nnc(s2)c3ccc(CCC(=O)O)cc3C","CHEMBL206939"
31478,350776,">",1000,"nM",1,"EC50",,"Cc1cc(CCC(=O)O)ccc1c2nnc(s2)c3cccc(c3)C#N","CHEMBL207716"
31478,350833,"=",1000,"nM",1,"EC50",6,"CC(C)Oc1ncc(cc1Cl)c2occ(n2)c3ccc(CCC(=O)O)cc3C","CHEMBL211407"
31478,350832,"=",2.1,"nM",1,"EC50",8.68,"CC(C)Oc1ncc(cc1Cl)c2nnc(s2)c3ccc(CCC(=O)O)cc3C","CHEMBL212420"
31478,350804,"=",19,"nM",1,"EC50",7.72,"CC(C)Oc1ncc(cc1Cl)c2oc(nn2)c3ccc(CCC(=O)O)cc3C","CHEMBL378562"
31478,350460,"=",0.73,"nM",1,"EC50",9.14,"CC(C)Oc1ncc(cc1Cl)c2onc(n2)c3ccc(CCC(=O)O)cc3C","CHEMBL210695"
31478,350778,"=",0.15,"nM",1,"EC50",9.82,"CC(C)Oc1ccc(cc1Cl)c2onc(n2)c3ccc(CCC(=O)O)cc3C","CHEMBL206940"
31478,350719,"=",0.1,"nM",1,"EC50",10,"CC(C)Oc1ccc(cc1C#N)c2onc(n2)c3ccc(CCC(=O)O)cc3C","CHEMBL211505"
35314,374116,"=",0.2,"nM",1,"EC50",9.7,"OC(=O)C1CN(Cc2ccc(cc2)c3noc(n3)c4cc(c5ccccc5)c(s4)C(F)(F)F)C1","CHEMBL225575"
35314,374176,"=",2.7,"nM",1,"EC50",8.57,"OC(=O)C1CN(Cc2cc(Cl)c(OCc3cc(c4ccccc4)c(s3)C(F)(F)F)c(Cl)c2)C1","CHEMBL426191"
35314,374168,"=",1.3,"nM",1,"EC50",8.89,"Cc1cc(CN2CC(C2)C(=O)O)cc(C)c1OCc3cc(c4ccccc4)c(s3)C(F)(F)F","CHEMBL224853"
35314,374167,"=",47,"nM",1,"EC50",7.33,"COc1cc(CN2CC(C2)C(=O)O)ccc1OCc3cc(c4ccccc4)c(s3)C(F)(F)F","CHEMBL224800"
35314,374152,"=",1.4,"nM",1,"EC50",8.85,"CCc1cc(CN2CC(C2)C(=O)O)ccc1OCc3cc(c4ccccc4)c(s3)C(F)(F)F","CHEMBL375488"
35314,374151,"=",0.8,"nM",1,"EC50",9.1,"Cc1cc(CN2CC(C2)C(=O)O)ccc1OCc3cc(c4ccccc4)c(s3)C(F)(F)F","CHEMBL224005"
35314,374141,"=",1.3,"nM",1,"EC50",8.89,"OC(=O)C1CN(Cc2ccc(OCc3cc(c4ccccc4)c(s3)C(F)(F)F)c(F)c2)C1","CHEMBL389880"
35314,374140,"=",1.4,"nM",1,"EC50",8.85,"OC(=O)C1CN(Cc2ccc(OCc3cc(c4ccccc4)c(s3)C(F)(F)F)c(Cl)c2)C1","CHEMBL224571"
35314,374131,"=",3.3,"nM",1,"EC50",8.48,"OC(=O)C1CN(Cc2ccc(OCc3cc(c4ccccc4)c(s3)C(F)(F)F)c(Br)c2)C1","CHEMBL224599"
35314,374130,"=",5.9,"nM",1,"EC50",8.23,"OC(=O)C1CN(Cc2ccc(OCc3cc(c4ccccc4)c(s3)C(F)(F)F)c(c2)C(F)(F)F)C1","CHEMBL224549"
35314,374122,"=",2.4,"nM",1,"EC50",8.62,"OC(=O)C1CCN(Cc2ccc(OCc3cc(c4ccccc4)c(s3)C(F)(F)F)cc2)C1","CHEMBL224799"
35314,329715,"=",0.5,"nM",1,"EC50",9.3,"OC(=O)C1CN(Cc2ccc(OCc3cc(c4ccccc4)c(s3)C(F)(F)F)cc2)C1","CHEMBL425563"
35314,186330,"=",0.3,"nM",1,"EC50",9.52,"CCCCCCCCc1ccc(CCC(N)(CO)COP(=O)(O)O)cc1","CHEMBL114606"
35538,186330,"=",1.3,"nM",1,"EC50",8.89,"CCCCCCCCc1ccc(CCC(N)(CO)COP(=O)(O)O)cc1","CHEMBL114606"
35538,376616,"=",30,"nM",1,"EC50",7.52,"CCCCCCCCc1cccc(NC[C@H](N)CCP(=O)(O)O)c1","CHEMBL228138"
35538,376615,"=",33,"nM",1,"EC50",7.48,"CCCCCCCCc1ccc(OC[C@@H](O)CCP(=O)(O)O)cc1","CHEMBL228137"
35538,376669,"=",140,"nM",1,"EC50",6.85,"CCCCCCc1ccc(OC[C@H](N)CCP(=O)(O)O)cc1","CHEMBL228049"
35538,376668,"=",68,"nM",1,"EC50",7.17,"CCCCCCc1ccc(OC[C@@H](N)CCP(=O)(O)O)cc1","CHEMBL228103"
35538,376667,"=",2.1,"nM",1,"EC50",8.68,"CCCCCCCCCCc1ccc(NC(=O)[C@H](N)CC(F)OP(=O)(O)O)cc1","CHEMBL226612"
35538,376639,"=",1200,"nM",1,"EC50",5.92,"CCCCCCCCc1ccc(NC(=O)[C@@H](N)CCP(=O)(O)O)cc1","CHEMBL227530"
35538,376604,"=",27,"nM",1,"EC50",7.57,"CCCCCCCCc1ccc(NC(=O)[C@H](N)CCP(=O)(O)O)cc1","CHEMBL227851"
35538,376660,"=",3.6,"nM",1,"EC50",8.44,"CCCCCCCCCCc1ccc(NC(=O)[C@H](N)CCP(=O)(O)O)cc1","CHEMBL228139"
35538,376628,"=",58,"nM",1,"EC50",7.24,"CCCCCCCCc1cccc(NC(=O)[C@H](N)COP(=O)(O)O)c1","CHEMBL228102"
36314,343686,"<",31622.78,"nM",1,"EC50",,"OC(=O)CCc1ccc(NCc2cccc(Oc3ccccc3)c2)cc1","CHEMBL207881"
37319,374212,"=",0.55,"nM",1,"EC50",9.26,"CCCCCCCCCCCCC\C=C\[C@@H](O)[C@@H](N)COP(=O)(O)O","CHEMBL225155"
37319,407899,">",1000,"nM",1,"EC50",,"CCCCCCCCc1ccc(cc1)[C@@H]2C[C@@H](CO)N[C@H]2COP(=O)(O)O","CHEMBL247901"
37319,407898,">",1000,"nM",1,"EC50",,"CCCCCCCCc1ccc(cc1)[C@@H]2C[C@@H](COP(=O)(O)O)N[C@H]2CO","CHEMBL247699"
37319,407897,">",1000,"nM",1,"EC50",,"CCCCCCCCc1ccc(cc1)[C@H]2C[C@H](CO)N[C@@H]2COP(=O)(O)O","CHEMBL247698"
37319,407896,">",1000,"nM",1,"EC50",,"CCCCCCCCc1ccc(cc1)[C@H]2C[C@H](COP(=O)(O)O)N[C@@H]2CO","CHEMBL393055"
37319,318534,"=",0.68,"nM",1,"EC50",9.17,"CCCCCCCCc1ccc(CC[C@@](N)(CO)COP(=O)(O)O)cc1","CHEMBL190006"
37329,350806,"=",0.08,"nM",1,"EC50",10.1,"CC(C)Oc1ccc(cc1C(F)(F)F)c2onc(n2)c3ccc(CCC(=O)O)cc3C","CHEMBL208924"
37329,410251,"=",0.8,"nM",1,"EC50",9.1,"CC(C)Oc1ccc(cc1C#N)c2onc(n2)c3ccc(cc3C)[C@H]4C[C@H]4C(=O)O","CHEMBL247766"
37329,410250,"=",0.93,"nM",1,"EC50",9.03,"CC(C)Oc1ccc(cc1C#N)c2onc(n2)c3ccc(cc3C)[C@@H]4C[C@H]4C(=O)O","CHEMBL391581"
37329,410250,"=",0.31,"nM",1,"EC50",9.51,"CC(C)Oc1ccc(cc1C#N)c2onc(n2)c3ccc(cc3C)[C@@H]4C[C@H]4C(=O)O","CHEMBL391581"
37329,410250,"=",0.45,"nM",1,"EC50",9.35,"CC(C)Oc1ccc(cc1C#N)c2onc(n2)c3ccc(cc3C)[C@@H]4C[C@H]4C(=O)O","CHEMBL391581"
37329,410249,"=",0.21,"nM",1,"EC50",9.68,"CC(C)Oc1ccc(cc1C(F)(F)F)c2onc(n2)c3ccc(cc3C)[C@@H]4C[C@H]4C(=O)O","CHEMBL391870"
37329,410248,"=",0.44,"nM",1,"EC50",9.36,"CC(C)Oc1ccc(cc1C#N)c2onc(n2)c3ccc(CCC(=O)O)nc3C","CHEMBL241052"
37329,410247,"=",0.12,"nM",1,"EC50",9.92,"CC(C)Oc1ccc(cc1C(F)(F)F)c2onc(n2)c3ccc(cc3C)C(C)CC(=O)O","CHEMBL391869"
37329,410245,"=",0.3,"nM",1,"EC50",9.52,"CC(C)Oc1ccc(cc1C(F)(F)F)c2onc(n2)c3ccc(CC(C)C(=O)O)cc3C","CHEMBL241050"
37329,350719,"=",0.08,"nM",1,"EC50",10.1,"CC(C)Oc1ccc(cc1C#N)c2onc(n2)c3ccc(CCC(=O)O)cc3C","CHEMBL211505"
47180,459553,"=",247,"nM",1,"EC50",6.61,"C[C@](N)(COP(=O)(O)O)C(=O)Nc1ccc(Oc2ccc(cc2)c3ccccc3)cc1","CHEMBL515603"
47180,459555,"=",56.1,"nM",1,"EC50",7.25,"C[C@](N)(COP(=O)(O)O)C(=O)Nc1ccc(OCCc2ccc(cc2)c3ccccc3)cc1","CHEMBL475405"
47180,459244,"=",0.52,"nM",1,"EC50",9.28,"C[C@](N)(COP(=O)(O)O)C(=O)Nc1ccc(OCCCCc2ccccc2)cc1","CHEMBL514302"
47180,459245,"=",2.9,"nM",1,"EC50",8.54,"C[C@](N)(COP(=O)(O)O)C(=O)Nc1ccc(OCCCCCc2ccccc2)cc1","CHEMBL473156"
47180,459304,"=",37,"nM",1,"EC50",7.43,"C[C@](N)(COP(=O)(O)O)C(=O)Nc1ccc(OCCCCC2CCCCC2)cc1","CHEMBL473562"
47180,459305,"=",44.1,"nM",1,"EC50",7.36,"C[C@](N)(COP(=O)(O)O)C(=O)Nc1ccc(OCc2ccc(cc2)c3ccccc3)cc1","CHEMBL473563"
47180,459611,"=",1.1,"nM",1,"EC50",8.96,"C[C@](N)(COP(=O)(O)O)C(=O)Nc1ccc(OCCCc2ccc(cc2)c3ccccc3)cc1","CHEMBL473238"
47180,459612,"=",2.67,"nM",1,"EC50",8.57,"C[C@](N)(COP(=O)(O)O)C(=O)Nc1ccc(OCCCCc2ccc(cc2)c3ccccc3)cc1","CHEMBL475253"
